DataStore	Total Read Count	Forward Read Count	Reverse Read Count	Unknown Read Count	Mean Read Length	Total Read Length	Fold Coverage	Total Quantitation	Median Quantitation	Mean Quantitation	Valid Quantitations
02_BAT_r1_C_GRCm38_bismark_bt2_pe.bam	78310	38747	39563	0	241	18915929	0.006940255941111339	11558.099298238754	8.844584	8.709947	1327
02_BAT_r1_N_GRCm38_bismark_bt2_pe.bam	275210	137453	137757	0	229	63076902	0.023142920649173386	2290.6535423994064	1.7093922	1.7261896	1327
02_BAT_r1_X_GRCm38_bismark_bt2_pe.bam	138078	68882	69196	0	225	31202861	0.01144833232536035	9808.905968666077	7.556885	7.3917904	1327
02_BAT_r2_C_GRCm38_bismark_bt2_pe.bam	72192	35899	36293	0	254	18398927	0.006750567863826504	11282.221306324005	8.746214	8.50205	1327
02_BAT_r2_N_GRCm38_bismark_bt2_pe.bam	208741	103807	104934	0	242	50616736	0.018571284695753733	2806.9801795482635	2.108211	2.1152828	1327
02_BAT_r2_X_GRCm38_bismark_bt2_pe.bam	105635	52303	53332	0	241	25468771	0.0093444942220683	9727.467877388	7.5647683	7.3304205	1327
02_BAT_r3_C_GRCm38_bismark_bt2_pe.bam	72095	36251	35844	0	272	19668959	0.007216542711448395	11945.21573472023	9.186275	9.00167	1327
02_BAT_r3_N_GRCm38_bismark_bt2_pe.bam	248804	124317	124487	0	242	60268669	0.022112579725274015	2474.936811566353	1.8549153	1.8650616	1327
02_BAT_r3_X_GRCm38_bismark_bt2_pe.bam	93561	46426	47135	0	249	23387871	0.008581011837044619	10734.343858242035	8.225305	8.089182	1327
02_Blood_r1_C_GRCm38_bismark_bt2_pe.bam	60255	29977	30278	0	258	15546072	0.005703855124373994	11521.783868789673	8.86013	8.68258	1327
02_Blood_r1_N_GRCm38_bismark_bt2_pe.bam	216863	107836	109027	0	239	51887779	0.01903763047936066	2737.0313425064087	2.053141	2.0625708	1327
02_Blood_r1_X_GRCm38_bismark_bt2_pe.bam	105995	52528	53467	0	237	25210963	0.009249904445184169	9768.081526994705	7.4858594	7.361026	1327
02_Blood_r2_C_GRCm38_bismark_bt2_pe.bam	60481	30099	30382	0	281	17032157	0.006249099835868018	11454.597846984863	8.854729	8.63195	1327
02_Blood_r2_N_GRCm38_bismark_bt2_pe.bam	172062	86097	85965	0	257	44381308	0.016283505638094338	3178.2324998378754	2.3869965	2.3950508	1327
02_Blood_r2_X_GRCm38_bismark_bt2_pe.bam	86028	42974	43054	0	258	22201296	0.008145657369742263	9766.162807226181	7.626513	7.35958	1327
02_Blood_r3_C_GRCm38_bismark_bt2_pe.bam	57603	28480	29123	0	248	14296927	0.0052455437188089	11525.23866391182	8.8726	8.685184	1327
02_Blood_r3_N_GRCm38_bismark_bt2_pe.bam	185505	92375	93130	0	224	41613714	0.015268075166713097	3040.078773498535	2.278467	2.290941	1327
02_Blood_r3_X_GRCm38_bismark_bt2_pe.bam	86953	43146	43807	0	227	19824332	0.0072735490782167575	9978.30909538269	7.6935453	7.519449	1327
02_Liver_r1_C_GRCm38_bismark_bt2_pe.bam	22552	11215	11337	0	246	5557985	0.0020392251639799294	11208.613574028015	8.792529	8.446582	1327
02_Liver_r1_N_GRCm38_bismark_bt2_pe.bam	88340	44148	44192	0	234	20716181	0.0076007685513298255	4446.119537591934	3.3487864	3.3505046	1327
02_Liver_r1_X_GRCm38_bismark_bt2_pe.bam	41748	20769	20979	0	230	9631830	0.003533919237129428	9262.62369632721	7.3895044	6.9801235	1327
02_Liver_r2_C_GRCm38_bismark_bt2_pe.bam	47218	23426	23792	0	287	13586307	0.004984817181038931	11877.34052848816	9.211874	8.9505205	1327
02_Liver_r2_N_GRCm38_bismark_bt2_pe.bam	159729	79814	79915	0	257	41121609	0.015087521800822339	3320.6225044727325	2.4942987	2.502353	1327
02_Liver_r2_X_GRCm38_bismark_bt2_pe.bam	59104	29495	29609	0	265	15695669	0.005758742276256538	10770.715054273605	8.402529	8.1165905	1327
02_Liver_r3_C_GRCm38_bismark_bt2_pe.bam	85047	42187	42860	0	240	20463329	0.007507997131262543	11630.51792550087	8.947913	8.76452	1327
02_Liver_r3_N_GRCm38_bismark_bt2_pe.bam	273017	136416	136601	0	224	61251317	0.02247311335912415	2303.0108581781387	1.7209343	1.7355018	1327
02_Liver_r3_X_GRCm38_bismark_bt2_pe.bam	127170	63464	63706	0	225	28670684	0.01051927637107994	10108.654661417007	7.833151	7.617675	1327
02_scAT_r1_C_GRCm38_bismark_bt2_pe.bam	77421	38437	38984	0	270	20958723	0.007689757231529938	11248.203685045242	8.645328	8.476416	1327
02_scAT_r1_N_GRCm38_bismark_bt2_pe.bam	232466	116514	115952	0	250	58221575	0.021361500764493745	2598.4334530830383	1.9529053	1.9581262	1327
02_scAT_r1_X_GRCm38_bismark_bt2_pe.bam	116309	57934	58375	0	249	29060461	0.01066228558516393	9497.275619983673	7.2738905	7.1569524	1327
02_scAT_r2_C_GRCm38_bismark_bt2_pe.bam	53464	26677	26787	0	270	14438265	0.005297400642896783	11719.245294570923	9.032643	8.831383	1327
02_scAT_r2_N_GRCm38_bismark_bt2_pe.bam	204766	102666	102100	0	238	48832455	0.01791663184677856	2846.4612579345703	2.135949	2.1450348	1327
02_scAT_r2_X_GRCm38_bismark_bt2_pe.bam	44459	22219	22240	0	244	10871492	0.003988751329196911	10266.870985031128	7.9508123	7.7369037	1327
03_BAT_r1_C_GRCm38_bismark_bt2_pe.bam	57277	28744	28533	0	279	15988709	0.005866258676904017	11650.262003183365	9.032791	8.779399	1327
03_BAT_r1_N_GRCm38_bismark_bt2_pe.bam	193638	96158	97480	0	254	49210132	0.018055201569844824	2959.3002529144287	2.216563	2.230068	1327
03_BAT_r1_X_GRCm38_bismark_bt2_pe.bam	93387	46325	47062	0	255	23822987	0.008740655934042055	9988.583298921585	7.742563	7.5271916	1327
03_BAT_r2_C_GRCm38_bismark_bt2_pe.bam	42524	21116	21408	0	269	11448421	0.0042004266278221816	11244.65466928482	8.643042	8.473742	1327
03_BAT_r2_N_GRCm38_bismark_bt2_pe.bam	125812	61914	63898	0	252	31747978	0.011648335798509928	3775.560895681381	2.8386555	2.8451853	1327
03_BAT_r2_X_GRCm38_bismark_bt2_pe.bam	62659	31378	31281	0	250	15680412	0.0057531444816732785	9667.59331703186	7.5812974	7.2853003	1327
03_BAT_r3_C_GRCm38_bismark_bt2_pe.bam	40082	19906	20176	0	264	10584959	0.003883622347396733	11851.546411037445	9.100333	8.931083	1327
03_BAT_r3_N_GRCm38_bismark_bt2_pe.bam	146038	72638	73400	0	236	34486036	0.012652929509006906	3492.988284111023	2.6235812	2.6322443	1327
03_BAT_r3_X_GRCm38_bismark_bt2_pe.bam	52518	26177	26341	0	243	12780701	0.004689240271879728	10581.732454299927	8.157934	7.974177	1327
03_Blood_r1_C_GRCm38_bismark_bt2_pe.bam	48549	24209	24340	0	259	12577288	0.004614608025070741	11268.879818439484	8.686343	8.491997	1327
03_Blood_r1_N_GRCm38_bismark_bt2_pe.bam	181387	90229	91158	0	240	43569735	0.015985739436133253	3076.975312232971	2.310854	2.3187456	1327
03_Blood_r1_X_GRCm38_bismark_bt2_pe.bam	86297	43032	43265	0	237	20529087	0.007532123746993423	9444.404398441315	7.341901	7.11711	1327
03_Blood_r2_C_GRCm38_bismark_bt2_pe.bam	104487	52121	52366	0	265	27738103	0.01017711232374092	11286.5889108181	8.68487	8.5053425	1327
03_Blood_r2_N_GRCm38_bismark_bt2_pe.bam	317329	158046	159283	0	250	79518119	0.029175204549337676	2010.1599925756454	1.5039456	1.5148153	1327
03_Blood_r2_X_GRCm38_bismark_bt2_pe.bam	158865	79142	79723	0	249	39582207	0.014522715077543843	9634.916797876358	7.512108	7.260676	1327
03_Blood_r3_C_GRCm38_bismark_bt2_pe.bam	71506	35678	35828	0	257	18402222	0.006751776799603646	11515.011379241943	8.935075	8.677477	1327
03_Blood_r3_N_GRCm38_bismark_bt2_pe.bam	235405	117571	117834	0	232	54715580	0.020075150904105887	2575.597211122513	1.93478	1.9409173	1327
03_Blood_r3_X_GRCm38_bismark_bt2_pe.bam	106317	53235	53082	0	234	24976196	0.00916376841313801	9956.06106543541	7.6929874	7.5026836	1327
03_Liver_r1_C_GRCm38_bismark_bt2_pe.bam	20855	10469	10386	0	243	5067946	0.0018594298136629423	11086.208889961243	8.583463	8.35434	1327
03_Liver_r1_N_GRCm38_bismark_bt2_pe.bam	75902	37660	38242	0	231	17599722	0.006457339482105686	4736.270047187805	3.5677152	3.569156	1327
03_Liver_r1_X_GRCm38_bismark_bt2_pe.bam	37088	18508	18580	0	228	8470662	0.003107886600264045	9289.312099456787	7.3378663	7.000235	1327
03_Liver_r2_C_GRCm38_bismark_bt2_pe.bam	53551	26729	26822	0	271	14551891	0.005339090031853821	11877.026114463806	9.177138	8.950283	1327
03_Liver_r2_N_GRCm38_bismark_bt2_pe.bam	192950	96312	96638	0	245	47349281	0.017372455181429377	2959.9451467990875	2.2216978	2.230554	1327
03_Liver_r2_X_GRCm38_bismark_bt2_pe.bam	69786	34884	34902	0	249	17383631	0.006378055676030357	10607.461373806	8.233236	7.9935656	1327
03_Liver_r3_C_GRCm38_bismark_bt2_pe.bam	40976	20524	20452	0	264	10833663	0.003974871865915128	11570.634804725647	8.9310055	8.719393	1327
03_Liver_r3_N_GRCm38_bismark_bt2_pe.bam	118293	59106	59187	0	242	28629430	0.010504140275010083	3900.4035596847534	2.9275603	2.939264	1327
03_Liver_r3_X_GRCm38_bismark_bt2_pe.bam	56747	28328	28419	0	244	13902497	0.005100827318633548	10212.547636032104	7.9466667	7.6959667	1327
03_scAT_r1_C_GRCm38_bismark_bt2_pe.bam	72729	36029	36700	0	265	19280372	0.007073970108464496	11081.571717739105	8.58868	8.350845	1327
03_scAT_r1_N_GRCm38_bismark_bt2_pe.bam	226873	113312	113561	0	246	55849695	0.020491257792995852	2647.1214969158173	1.9880402	1.9948165	1327
03_scAT_r1_X_GRCm38_bismark_bt2_pe.bam	110108	54702	55406	0	244	26873486	0.009859884273718325	9322.125126838684	7.2704716	7.0249624	1327
03_scAT_r2_C_GRCm38_bismark_bt2_pe.bam	39785	19922	19863	0	264	10539022	0.00386676805823299	11717.979848861694	9.043949	8.830429	1327
03_scAT_r2_N_GRCm38_bismark_bt2_pe.bam	154180	76610	77570	0	235	36372854	0.013345203191906426	3383.097557783127	2.5453093	2.549433	1327
03_scAT_r2_X_GRCm38_bismark_bt2_pe.bam	53027	26429	26598	0	241	12831832	0.004708000240080336	10415.067346096039	8.044484	7.8485813	1327
04_BAT_r1_C_GRCm38_bismark_bt2_pe.bam	39262	19318	19944	0	280	11014543	0.0040412367531288745	11640.686367034912	8.992651	8.772182	1327
04_BAT_r1_N_GRCm38_bismark_bt2_pe.bam	126393	62864	63529	0	258	32659684	0.01198284080659316	3767.436174631119	2.8320084	2.8390627	1327
04_BAT_r1_X_GRCm38_bismark_bt2_pe.bam	62187	31186	31001	0	258	16067321	0.005895101426316042	9954.834600687027	7.707683	7.5017595	1327
04_BAT_r2_C_GRCm38_bismark_bt2_pe.bam	64142	32265	31877	0	260	16720209	0.006134646088430194	11422.122037649155	8.820568	8.607477	1327
04_BAT_r2_N_GRCm38_bismark_bt2_pe.bam	180863	89927	90936	0	246	44618961	0.01637070054378324	3088.3779850006104	2.3150277	2.3273385	1327
04_BAT_r2_X_GRCm38_bismark_bt2_pe.bam	91141	45395	45746	0	244	22322431	0.00819010181143088	9786.515486717224	7.543219	7.3749175	1327
04_BAT_r3_C_GRCm38_bismark_bt2_pe.bam	49542	25017	24525	0	272	13494692	0.00495120362983323	11802.416739463806	9.090092	8.894059	1327
04_BAT_r3_N_GRCm38_bismark_bt2_pe.bam	179764	89727	90037	0	242	43565993	0.015984366496018514	3100.438437461853	2.3238208	2.336427	1327
04_BAT_r3_X_GRCm38_bismark_bt2_pe.bam	64654	31926	32728	0	249	16150166	0.005925497263784102	10589.873660326004	8.199044	7.980312	1327
04_Blood_r1_C_GRCm38_bismark_bt2_pe.bam	33534	16591	16943	0	269	9051916	0.00332114874175309	11329.180098056793	8.805122	8.537437	1327
04_Blood_r1_N_GRCm38_bismark_bt2_pe.bam	122484	61220	61264	0	252	30920160	0.011344609304682481	3824.1712894439697	2.8773317	2.881817	1327
04_Blood_r1_X_GRCm38_bismark_bt2_pe.bam	59132	29782	29350	0	251	14885213	0.005461385901689404	9564.857582092285	7.5393486	7.2078805	1327
04_Blood_r2_C_GRCm38_bismark_bt2_pe.bam	97397	48312	49085	0	268	26131188	0.009587535075083932	11446.617734670639	8.81941	8.6259365	1327
04_Blood_r2_N_GRCm38_bismark_bt2_pe.bam	280998	140390	140608	0	251	70696673	0.025938615269969326	2243.5907378196716	1.6793652	1.690724	1327
04_Blood_r2_X_GRCm38_bismark_bt2_pe.bam	141931	71021	70910	0	250	35535160	0.013037853192848314	9797.857316493988	7.5716257	7.3834643	1327
04_Blood_r3_C_GRCm38_bismark_bt2_pe.bam	76561	38150	38411	0	253	19406264	0.007120159893853222	11540.519518136978	8.916699	8.696699	1327
04_Blood_r3_N_GRCm38_bismark_bt2_pe.bam	251052	125207	125845	0	230	57843386	0.021222743188584418	2461.4370617866516	1.8419389	1.8548886	1327
04_Blood_r3_X_GRCm38_bismark_bt2_pe.bam	113804	56443	57361	0	233	26547375	0.009740234120389256	9930.83821439743	7.720339	7.483676	1327
04_Liver_r1_C_GRCm38_bismark_bt2_pe.bam	19433	9779	9654	0	280	5448740	0.0019991431642913757	11356.561701774597	8.855272	8.558072	1327
04_Liver_r1_N_GRCm38_bismark_bt2_pe.bam	66333	33019	33314	0	258	17157500	0.006295088193110568	4998.638541698456	3.7621262	3.7668715	1327
04_Liver_r1_X_GRCm38_bismark_bt2_pe.bam	32438	16153	16285	0	258	8369049	0.0030706047820174154	9764.128777503967	7.531134	7.3580475	1327
04_Liver_r2_C_GRCm38_bismark_bt2_pe.bam	59810	29274	30536	0	274	16445174	0.006033735723797109	11861.567157268524	9.107863	8.938634	1327
04_Liver_r2_N_GRCm38_bismark_bt2_pe.bam	207342	103311	104031	0	245	50895104	0.018673417938367156	2818.7660751342773	2.1179125	2.1241643	1327
04_Liver_r2_X_GRCm38_bismark_bt2_pe.bam	77953	38580	39373	0	253	19745927	0.007244782277122144	10623.028460025787	8.204813	8.005297	1327
04_Liver_r3_C_GRCm38_bismark_bt2_pe.bam	72157	35717	36440	0	249	17989064	0.0066001890946530885	11557.59635925293	8.880179	8.709568	1327
04_Liver_r3_N_GRCm38_bismark_bt2_pe.bam	225686	112484	113202	0	230	52044329	0.019095068687528017	2663.8361093997955	1.9956081	2.0074122	1327
04_Liver_r3_X_GRCm38_bismark_bt2_pe.bam	64004	31880	32124	0	236	15161421	0.005562726640121149	9974.42550945282	7.6661334	7.5165224	1327
04_scAT_r1_C_GRCm38_bismark_bt2_pe.bam	101490	50549	50941	0	256	26017614	0.009545864764931267	11238.413905858994	8.622519	8.469038	1327
04_scAT_r1_N_GRCm38_bismark_bt2_pe.bam	320627	159876	160751	0	240	77004343	0.028252899923504965	1997.9267414808273	1.489029	1.5055966	1327
04_scAT_r1_X_GRCm38_bismark_bt2_pe.bam	157943	78779	79164	0	238	37636340	0.013808776311577736	9438.543001174927	7.3063803	7.1126924	1327
04_scAT_r2_C_GRCm38_bismark_bt2_pe.bam	35174	17391	17783	0	273	9608052	0.00352519508692947	11657.182249546051	8.999271	8.784614	1327
04_scAT_r2_N_GRCm38_bismark_bt2_pe.bam	134070	67091	66979	0	243	32599345	0.01196070242241807	3654.4434311389923	2.7469385	2.7539136	1327
04_scAT_r2_X_GRCm38_bismark_bt2_pe.bam	46589	23115	23474	0	249	11608680	0.004259225668401504	10378.042672157288	8.124307	7.82068	1327
05_BAT_r1_C_GRCm38_bismark_bt2_pe.bam	17959	9016	8943	0	282	5073955	0.0018616345162683569	11394.83329629898	8.799149	8.586913	1327
05_BAT_r1_N_GRCm38_bismark_bt2_pe.bam	59421	29704	29717	0	257	15302704	0.005614563384704407	5208.503935337067	3.92088	3.925022	1327
05_BAT_r1_X_GRCm38_bismark_bt2_pe.bam	29902	14858	15044	0	256	7669752	0.0028140326538998203	9673.681161403656	7.6485767	7.289888	1327
05_BAT_r2_C_GRCm38_bismark_bt2_pe.bam	42940	21604	21336	0	246	10564019	0.003875939459635478	10942.420175075531	8.541534	8.245983	1327
05_BAT_r2_N_GRCm38_bismark_bt2_pe.bam	133600	66438	67162	0	231	30968546	0.011362362132152208	3658.470550298691	2.7520049	2.7569485	1327
05_BAT_r2_X_GRCm38_bismark_bt2_pe.bam	64976	32534	32442	0	229	14943607	0.0054828106652009	9179.968821525574	7.2658777	6.917836	1327
05_BAT_r3_C_GRCm38_bismark_bt2_pe.bam	11108	5561	5547	0	277	3084167	0.0011315811317080717	11592.127893447876	8.814185	8.73559	1327
05_BAT_r3_N_GRCm38_bismark_bt2_pe.bam	39591	19561	20030	0	249	9871534	0.0036218666548908374	5982.733037948608	4.5066805	4.508465	1327
05_BAT_r3_X_GRCm38_bismark_bt2_pe.bam	14004	6933	7071	0	253	3551227	0.0013029454849923044	10452.116191864014	8.158017	7.8765006	1327
05_Blood_r1_C_GRCm38_bismark_bt2_pe.bam	28852	14632	14220	0	241	6969143	0.002556979152871873	10994.117182731628	8.574616	8.284942	1327
05_Blood_r1_N_GRCm38_bismark_bt2_pe.bam	117809	58578	59231	0	232	27373163	0.01004321580704596	3896.761409521103	2.933475	2.9365196	1327
05_Blood_r1_X_GRCm38_bismark_bt2_pe.bam	54073	27155	26918	0	228	12336982	0.004526439733458698	9054.250015258789	7.0163026	6.823097	1327
05_Blood_r2_C_GRCm38_bismark_bt2_pe.bam	44639	22181	22458	0	239	10669041	0.003914472040268837	10793.478301048279	8.392443	8.133744	1327
05_Blood_r2_N_GRCm38_bismark_bt2_pe.bam	150080	75129	74951	0	229	34385148	0.012615913693321257	3437.28239941597	2.5841932	2.5902655	1327
05_Blood_r2_X_GRCm38_bismark_bt2_pe.bam	70894	35270	35624	0	225	16009398	0.005873849472744161	9052.768122434616	7.1401205	6.8219805	1327
05_Blood_r3_C_GRCm38_bismark_bt2_pe.bam	52624	26012	26612	0	245	12920122	0.0047403938485063735	11458.965545654297	8.833097	8.6352415	1327
05_Blood_r3_N_GRCm38_bismark_bt2_pe.bam	175581	87531	88050	0	223	39280764	0.014412115615489591	3146.8822395801544	2.3577883	2.3714259	1327
05_Blood_r3_X_GRCm38_bismark_bt2_pe.bam	78607	39226	39381	0	226	17787778	0.006526337244323003	9909.3703789711	7.669198	7.4674983	1327
05_Liver_r1_C_GRCm38_bismark_bt2_pe.bam	26413	13134	13279	0	246	6507699	0.0023876753104600003	11163.555594921112	8.70204	8.412626	1327
05_Liver_r1_N_GRCm38_bismark_bt2_pe.bam	98630	48889	49741	0	233	23064914	0.008462518886580834	4245.459843635559	3.1898265	3.1992915	1327
05_Liver_r1_X_GRCm38_bismark_bt2_pe.bam	48603	24116	24487	0	229	11155085	0.004092801624749807	9277.490333557129	7.170166	6.9913263	1327
05_Liver_r2_C_GRCm38_bismark_bt2_pe.bam	64199	32178	32021	0	260	16724033	0.006136049114351829	11855.411887645721	9.170759	8.933995	1327
05_Liver_r2_N_GRCm38_bismark_bt2_pe.bam	240970	120502	120468	0	234	56442233	0.02070866003503399	2542.946970820427	1.9010714	1.9163127	1327
05_Liver_r2_X_GRCm38_bismark_bt2_pe.bam	86023	43467	42556	0	239	20621471	0.007566019444363805	10584.13367986679	8.18299	7.975986	1327
05_Liver_r3_C_GRCm38_bismark_bt2_pe.bam	66124	32731	33393	0	240	15919479	0.00584085818408111	11548.892126083374	8.918682	8.703009	1327
05_Liver_r3_N_GRCm38_bismark_bt2_pe.bam	215527	107054	108473	0	223	48274574	0.01771194526095541	2750.639138698578	2.0620565	2.0728252	1327
05_Liver_r3_X_GRCm38_bismark_bt2_pe.bam	98040	49140	48900	0	225	22078356	0.008100550673401829	9930.025453567505	7.672414	7.4830637	1327
05_scAT_r1_C_GRCm38_bismark_bt2_pe.bam	106746	52835	53911	0	268	28632258	0.010505177868447945	11241.19844174385	8.687178	8.471137	1327
05_scAT_r1_N_GRCm38_bismark_bt2_pe.bam	333690	166516	167174	0	247	82620560	0.030313490413182764	1920.4510989189148	1.4314166	1.4472126	1327
05_scAT_r1_X_GRCm38_bismark_bt2_pe.bam	159874	79978	79896	0	247	39589452	0.014525373268653217	9509.011713981628	7.3454328	7.1657963	1327
05_scAT_r2_C_GRCm38_bismark_bt2_pe.bam	44695	22164	22531	0	281	12594771	0.004621022539241229	11683.564901828766	9.068705	8.804495	1327
05_scAT_r2_N_GRCm38_bismark_bt2_pe.bam	172872	86267	86605	0	244	42183913	0.01547728122777231	3166.3941690921783	2.380221	2.3861299	1327
05_scAT_r2_X_GRCm38_bismark_bt2_pe.bam	59922	30027	29895	0	254	15228176	0.005587219055235886	10386.093198776245	8.06077	7.826747	1327
05_scAT_r3_C_GRCm38_bismark_bt2_pe.bam	51257	25393	25864	0	258	13248765	0.004860972992848407	11323.880854129791	8.745539	8.533444	1327
05_scAT_r3_N_GRCm38_bismark_bt2_pe.bam	168675	84207	84468	0	229	38740345	0.014213835838935162	3219.8778746128082	2.4156787	2.426434	1327
05_scAT_r3_X_GRCm38_bismark_bt2_pe.bam	77108	38413	38695	0	235	18186402	0.00667259242345111	9808.258808851242	7.6969757	7.3913026	1327
06_BAT_r1_C_GRCm38_bismark_bt2_pe.bam	51116	25357	25759	0	275	14072323	0.005163136492317546	11540.660379886627	8.933937	8.696805	1327
06_BAT_r1_N_GRCm38_bismark_bt2_pe.bam	168430	83384	85046	0	250	42238053	0.015497145198326004	3225.0297026634216	2.4177759	2.4303162	1327
06_BAT_r1_X_GRCm38_bismark_bt2_pe.bam	84050	41423	42627	0	250	21027369	0.007714943454703726	9867.54513669014	7.6600714	7.43598	1327
06_BAT_r2_C_GRCm38_bismark_bt2_pe.bam	65274	32811	32463	0	235	15381421	0.005643444658625263	11090.622693538666	8.581203	8.357666	1327
06_BAT_r2_N_GRCm38_bismark_bt2_pe.bam	199351	99175	100176	0	226	45221134	0.01659163786813177	2897.0731985569	2.1746142	2.183175	1327
06_BAT_r2_X_GRCm38_bismark_bt2_pe.bam	99387	49069	50318	0	223	22199244	0.008144904490769671	9339.996169567108	7.330799	7.0384297	1327
