Sample Name	% mCpG	allCs(M)	% Bups	% Aligned	% Dups	% Failed	M Seqs
03_Blood_r2_C_GRCm39	55.1%	2.9	42.7%	72.7%			
03_Liver_r1_C_1					44.1%	18%	0.0
03_Liver_r1_C_1_val_1					43.2%	27%	0.0
03_Liver_r1_C_2					44.9%	18%	0.0
03_Liver_r1_C_2_val_2					39.0%	18%	0.0
03_Liver_r1_C_GRCm39	44.7%	0.6	43.0%	73.1%			
04_BAT_r3_C_1					51.0%	27%	0.1
04_BAT_r3_C_1_val_1					49.9%	18%	0.1
04_BAT_r3_C_2					48.7%	18%	0.1
04_BAT_r3_C_2_val_2					41.9%	18%	0.1
04_BAT_r3_C_GRCm39	39.6%	1.4	47.2%	69.2%			
04_Blood_r2_C_1					47.1%	18%	0.2
04_Blood_r2_C_1_val_1					46.2%	9%	0.2
04_Blood_r2_C_2					47.5%	9%	0.2
04_Blood_r2_C_2_val_2					40.2%	9%	0.2
04_Blood_r2_C_GRCm39	54.0%	2.7	43.6%	71.1%			
04_Liver_r1_C_1					41.8%	27%	0.0
04_Liver_r1_C_1_val_1					41.0%	18%	0.0
04_Liver_r1_C_2					40.5%	18%	0.0
04_Liver_r1_C_2_val_2					34.4%	18%	0.0
04_Liver_r1_C_GRCm39	44.8%	0.6	39.3%	71.0%			
05_BAT_r3_C_1					46.1%	18%	0.0
05_BAT_r3_C_1_val_1					45.2%	18%	0.0
05_BAT_r3_C_2					43.8%	18%	0.0
05_BAT_r3_C_2_val_2					37.4%	18%	0.0
05_BAT_r3_C_GRCm39	42.3%	0.3	44.0%	67.5%			
05_scAT_r3_C_1					47.3%	18%	0.1
05_scAT_r3_C_1_val_1					46.5%	18%	0.1
05_scAT_r3_C_2					47.3%	18%	0.1
05_scAT_r3_C_2_val_2					40.7%	18%	0.1
05_scAT_r3_C_GRCm39	44.9%	1.4	43.4%	71.7%			
06_BAT_r3_C_1					50.2%	27%	0.0
06_BAT_r3_C_1_val_1					49.3%	18%	0.0
06_BAT_r3_C_2					49.3%	18%	0.0
06_BAT_r3_C_2_val_2					43.8%	18%	0.0
06_BAT_r3_C_GRCm39	39.3%	0.7	47.9%	72.2%			
06_Blood_r2_C_1					45.0%	18%	0.0
06_Blood_r2_C_1_val_1					44.3%	27%	0.0
06_Blood_r2_C_2					45.1%	18%	0.0
06_Blood_r2_C_2_val_2					39.4%	18%	0.0
06_Blood_r2_C_GRCm39	53.3%	0.7	42.8%	72.3%			
06_scAT_r3_C_1					48.1%	9%	0.1
06_scAT_r3_C_1_val_1					47.2%	18%	0.1
06_scAT_r3_C_2					48.6%	9%	0.1
06_scAT_r3_C_2_val_2					41.0%	9%	0.1
06_scAT_r3_C_GRCm39	43.9%	2.4	43.7%	70.3%			
07_BAT_r3_C_1					51.9%	27%	0.0
07_BAT_r3_C_1_val_1					50.6%	27%	0.0
07_BAT_r3_C_2					50.7%	27%	0.0
07_BAT_r3_C_2_val_2					45.8%	18%	0.0
07_BAT_r3_C_GRCm39	38.2%	0.4	51.3%	71.6%			
07_Blood_r2_C_1					42.4%	18%	0.0
07_Blood_r2_C_1_val_1					41.2%	18%	0.0
07_Blood_r2_C_2					41.2%	18%	0.0
07_Blood_r2_C_2_val_2					34.2%	18%	0.0
07_Blood_r2_C_GRCm39	53.1%	0.3	41.0%	67.0%			
07_scAT_r3_C_1					47.7%	18%	0.1
07_scAT_r3_C_1_val_1					47.0%	18%	0.1
07_scAT_r3_C_2					48.2%	18%	0.1
07_scAT_r3_C_2_val_2					41.8%	18%	0.1
07_scAT_r3_C_GRCm39	47.9%	1.8	44.0%	72.7%			
08_BAT_r3_C_1					50.3%	27%	0.1
08_BAT_r3_C_1_val_1					49.4%	18%	0.1
08_BAT_r3_C_2					47.4%	18%	0.1
08_BAT_r3_C_2_val_2					40.9%	18%	0.1
08_BAT_r3_C_GRCm39	44.0%	0.9	46.6%	68.9%			
08_Blood_r2_C_1					44.6%	27%	0.0
08_Blood_r2_C_1_val_1					43.9%	27%	0.0
08_Blood_r2_C_2					45.9%	18%	0.0
08_Blood_r2_C_2_val_2					40.0%	18%	0.0
08_Blood_r2_C_GRCm39	54.6%	0.8	42.4%	72.5%			
08_Liver_r1_C_1					42.0%	18%	0.0
08_Liver_r1_C_1_val_1					41.3%	27%	0.0
08_Liver_r1_C_2					42.1%	18%	0.0
08_Liver_r1_C_2_val_2					37.0%	18%	0.0
08_Liver_r1_C_GRCm39	42.4%	0.6	39.8%	74.4%			
08_scAT_r3_C_1					47.0%	18%	0.1
08_scAT_r3_C_1_val_1					46.0%	18%	0.1
08_scAT_r3_C_2					47.9%	18%	0.1
08_scAT_r3_C_2_val_2					41.0%	18%	0.1
08_scAT_r3_C_GRCm39	42.0%	1.8	43.8%	70.4%			
09_BAT_r3_C_1					49.6%	18%	0.1
09_BAT_r3_C_1_val_1					48.7%	18%	0.1
09_BAT_r3_C_2					47.6%	18%	0.1
09_BAT_r3_C_2_val_2					41.6%	18%	0.1
09_BAT_r3_C_GRCm39	37.6%	1.2	46.5%	68.5%			
09_Blood_r2_C_1					47.6%	18%	0.1
09_Blood_r2_C_1_val_1					46.7%	18%	0.1
09_Blood_r2_C_2					47.7%	9%	0.1
09_Blood_r2_C_2_val_2					40.6%	9%	0.1
09_Blood_r2_C_GRCm39	50.2%	2.1	45.0%	71.5%			
09_Liver_r1_C_1					42.4%	27%	0.1
09_Liver_r1_C_1_val_1					41.5%	27%	0.1
09_Liver_r1_C_2					41.8%	18%	0.1
09_Liver_r1_C_2_val_2					36.2%	18%	0.1
09_Liver_r1_C_GRCm39	44.6%	1.1	39.0%	72.1%			
10_BAT_r3_C_1					51.6%	27%	0.1
10_BAT_r3_C_1_val_1					50.8%	27%	0.1
10_BAT_r3_C_2					50.2%	27%	0.1
10_BAT_r3_C_2_val_2					44.7%	18%	0.1
10_BAT_r3_C_GRCm39	38.8%	1.0	47.8%	72.2%			
10_Blood_r2_C_1					47.3%	18%	0.1
10_Blood_r2_C_1_val_1					46.5%	18%	0.1
10_Blood_r2_C_2					47.1%	18%	0.1
10_Blood_r2_C_2_val_2					40.3%	18%	0.1
10_Blood_r2_C_GRCm39	50.8%	1.4	44.5%	71.5%			
10_Liver_r1_C_1					41.8%	18%	0.1
10_Liver_r1_C_1_val_1					41.1%	18%	0.1
10_Liver_r1_C_2					43.0%	18%	0.1
10_Liver_r1_C_2_val_2					36.9%	18%	0.1
10_Liver_r1_C_GRCm39	44.6%	1.2	38.9%	74.2%			
11_Blood_r2_C_1					47.5%	9%	0.1
11_Blood_r2_C_1_val_1					46.8%	9%	0.1
11_Blood_r2_C_2					48.3%	9%	0.1
11_Blood_r2_C_2_val_2					41.0%	9%	0.1
11_Blood_r2_C_GRCm39	53.4%	2.6	43.8%	72.0%			
11_Liver_r1_C_1					42.0%	18%	0.0
11_Liver_r1_C_1_val_1					41.4%	18%	0.0
11_Liver_r1_C_2					41.1%	18%	0.0
11_Liver_r1_C_2_val_2					35.6%	18%	0.0
11_Liver_r1_C_GRCm39	45.4%	0.7	39.1%	72.3%			
12_Blood_r2_C_1					44.3%	18%	0.1
12_Blood_r2_C_1_val_1					43.6%	18%	0.1
12_Blood_r2_C_2					46.2%	9%	0.1
12_Blood_r2_C_2_val_2					39.6%	18%	0.1
12_Blood_r2_C_GRCm39	51.6%	1.5	42.7%	72.1%			
12_Liver_r1_C_1					42.5%	18%	0.0
12_Liver_r1_C_1_val_1					41.8%	18%	0.0
12_Liver_r1_C_2					41.8%	18%	0.0
12_Liver_r1_C_2_val_2					35.5%	18%	0.0
12_Liver_r1_C_GRCm39	45.2%	0.9	39.7%	71.5%			
12_scAT_r2_C_1					50.8%	27%	0.1
12_scAT_r2_C_1_val_1					50.0%	27%	0.1
12_scAT_r2_C_2					48.8%	18%	0.1
12_scAT_r2_C_2_val_2					42.4%	18%	0.1
12_scAT_r2_C_GRCm39	43.2%	1.1	46.3%	69.2%			
13_Liver_r1_C_1					42.6%	18%	0.0
13_Liver_r1_C_1_val_1					42.0%	18%	0.0
13_Liver_r1_C_2					43.4%	18%	0.0
13_Liver_r1_C_2_val_2					37.5%	18%	0.0
13_Liver_r1_C_GRCm39	40.7%	0.8	39.4%	74.1%			
13_scAT_r3_C_1					49.0%	18%	0.1
13_scAT_r3_C_1_val_1					48.0%	27%	0.1
13_scAT_r3_C_2					49.1%	18%	0.1
13_scAT_r3_C_2_val_2					42.2%	18%	0.1
13_scAT_r3_C_GRCm39	39.5%	0.9	47.8%	70.7%			
14_Liver_r1_C_1					41.6%	18%	0.0
14_Liver_r1_C_1_val_1					40.7%	18%	0.0
14_Liver_r1_C_2					41.9%	18%	0.0
14_Liver_r1_C_2_val_2					36.2%	18%	0.0
14_Liver_r1_C_GRCm39	38.5%	0.8	39.6%	72.0%			
14_Liver_r3_C_1					48.2%	18%	0.1
14_Liver_r3_C_1_val_1					47.3%	18%	0.1
14_Liver_r3_C_2					48.6%	18%	0.1
14_Liver_r3_C_2_val_2					42.3%	18%	0.1
14_Liver_r3_C_GRCm39	38.8%	1.4	45.4%	73.8%			
14_scAT_r3_C_1					47.1%	18%	0.1
14_scAT_r3_C_1_val_1					46.1%	18%	0.1
14_scAT_r3_C_2					46.1%	18%	0.1
14_scAT_r3_C_2_val_2					39.3%	18%	0.1
14_scAT_r3_C_GRCm39	40.0%	0.9	44.1%	71.0%			
15_Liver_r3_C_1					43.6%	18%	0.0
15_Liver_r3_C_1_val_1					42.8%	18%	0.0
15_Liver_r3_C_2					43.0%	18%	0.0
15_Liver_r3_C_2_val_2					36.7%	18%	0.0
15_Liver_r3_C_GRCm39	39.3%	0.4	41.9%	69.3%			
15_scAT_r3_C_1					46.8%	18%	0.1
15_scAT_r3_C_1_val_1					46.0%	18%	0.1
15_scAT_r3_C_2					47.6%	18%	0.1
15_scAT_r3_C_2_val_2					41.3%	18%	0.1
15_scAT_r3_C_GRCm39	39.9%	1.4	43.1%	72.7%			
16_Liver_r3_C_1					45.2%	27%	0.0
16_Liver_r3_C_1_val_1					44.8%	27%	0.0
16_Liver_r3_C_2					46.5%	18%	0.0
16_Liver_r3_C_2_val_2					42.2%	18%	0.0
16_Liver_r3_C_GRCm39	43.1%	0.5	43.7%	74.6%			
16_scAT_r3_C_1					47.9%	9%	0.1
16_scAT_r3_C_1_val_1					47.1%	9%	0.1
16_scAT_r3_C_2					48.0%	9%	0.1
16_scAT_r3_C_2_val_2					41.0%	9%	0.1
16_scAT_r3_C_GRCm39	39.4%	2.2	43.8%	71.9%			
