"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"	"Total reads before deduplication"	"PercentageDeduplicated"	"PercentageDuplicate"
"15_BAT_r1_X_GRCm38"	69990	27946	97936	71.4650383924195	28.5349616075805
"15_Blood_r3_X_GRCm38"	80641	34634	115275	69.9553242246801	30.0446757753199
"15_Liver_r2_X_GRCm38"	23744	10627	34371	69.0814931191993	30.9185068808007
"15_scAT_r2_X_GRCm38"	59420	26489	85909	69.166210757895	30.833789242105
"16_BAT_r1_X_GRCm38"	29505	10483	39988	73.7846353906172	26.2153646093828
"16_Blood_r3_X_GRCm38"	68425	29006	97431	70.2291878354938	29.7708121645062
"16_Liver_r2_X_GRCm38"	22332	10419	32751	68.1872309242466	31.8127690757534
"01_Liver_r3_X_GRCm38"	96063	42506	138569	69.3250294077319	30.6749705922681
"01_scAT_r2_X_GRCm38"	29240	14822	44062	66.3610367209841	33.6389632790159
"02_BAT_r2_X_GRCm38"	70891	30878	101769	69.65873694347	30.34126305653
"02_Liver_r3_X_GRCm38"	85408	38780	124188	68.7731503849003	31.2268496150997
"02_scAT_r2_X_GRCm38"	35030	12217	47247	74.1422735835079	25.8577264164921
"03_BAT_r2_X_GRCm38"	43034	18799	61833	69.5971406853945	30.4028593146055
"03_Liver_r3_X_GRCm38"	38505	18162	56667	67.9496002964688	32.0503997035312
"03_scAT_r2_X_GRCm38"	36399	16785	53184	68.4397563176895	31.5602436823105
"04_BAT_r2_X_GRCm38"	62014	26725	88739	69.8835912056706	30.1164087943294
"04_Blood_r1_X_GRCm38"	43124	16260	59384	72.6188872423548	27.3811127576452
"04_Liver_r3_X_GRCm38"	49970	15671	65641	76.1262016117975	23.8737983882025
"04_scAT_r2_X_GRCm38"	32275	14673	46948	68.7462724716708	31.2537275283292
"05_Blood_r2_X_GRCm38"	49454	19223	68677	72.0095519606273	27.9904480393727
"05_Liver_r1_X_GRCm38"	34062	12636	46698	72.9410253115765	27.0589746884235
"05_scAT_r2_X_GRCm38"	41140	19863	61003	67.4393062636264	32.5606937363736
"06_Liver_r1_X_GRCm38"	36803	13939	50742	72.5296598478578	27.4703401521422
"06_Liver_r3_X_GRCm38"	57397	25801	83198	68.9884372220486	31.0115627779514
"06_scAT_r2_X_GRCm38"	56482	26554	83036	68.021099282239	31.978900717761
"07_Liver_r1_X_GRCm38"	44849	16758	61607	72.7985456198159	27.2014543801841
"07_Liver_r3_X_GRCm38"	43790	19415	63205	69.2824934736176	30.7175065263824
"07_scAT_r2_X_GRCm38"	62747	29177	91924	68.2596492754884	31.7403507245116
"08_Liver_r3_X_GRCm38"	66351	29369	95720	69.3178019222733	30.6821980777267
"08_scAT_r2_X_GRCm38"	66233	32450	98683	67.1169299676743	32.8830700323257
"09_BAT_r2_X_GRCm38"	72960	32345	105305	69.2844594273776	30.7155405726224
"09_Blood_r1_X_GRCm38"	42871	16084	58955	72.7181748791451	27.2818251208549
"09_Liver_r3_X_GRCm38"	44179	18560	62739	70.4171249143276	29.5828750856724
"09_scAT_r2_X_GRCm38"	66320	30628	96948	68.4078062466477	31.5921937533523
"10_BAT_r2_X_GRCm38"	63438	26702	90140	70.377191036166	29.622808963834
"10_Blood_r1_X_GRCm38"	25814	9889	35703	72.3020474469932	27.6979525530068
"10_Liver_r3_X_GRCm38"	38351	16089	54440	70.4463629684056	29.5536370315944
"10_scAT_r2_X_GRCm38"	47814	21780	69594	68.7041986378136	31.2958013621864
"11_BAT_r2_X_GRCm38"	30372	14273	44645	68.0300145593012	31.9699854406988
"11_Blood_r1_X_GRCm38"	62062	22863	84925	73.0785987636149	26.921401236385
"11_Liver_r3_X_GRCm38"	56805	24242	81047	70.088960726492	29.911039273508
"11_scAT_r2_X_GRCm38"	53619	25326	78945	67.9194375831275	32.0805624168725
"12_BAT_r2_X_GRCm38"	40590	12714	53304	76.1481314723098	23.8518685276902
"12_Blood_r1_X_GRCm38"	70386	27141	97527	72.1707834753453	27.8292165246547
"12_Liver_r3_X_GRCm38"	65161	28670	93831	69.4450661295308	30.5549338704692
"13_BAT_r2_X_GRCm38"	48705	19510	68215	71.3992523638496	28.6007476361504
"13_Blood_r1_X_GRCm38"	26557	10470	37027	71.7233370243336	28.2766629756664
"13_Liver_r3_X_GRCm38"	56466	23859	80325	70.296918767507	29.703081232493
"14_BAT_r2_X_GRCm38"	26687	11070	37757	70.6809333368647	29.3190666631353
"14_Blood_r1_X_GRCm38"	25103	6644	31747	79.0720383028318	20.9279616971682
"15_BAT_r2_X_GRCm38"	44743	18779	63522	70.4370139479236	29.5629860520764
"15_Blood_r1_X_GRCm38"	55814	20371	76185	73.2611406444838	26.7388593555162
"16_BAT_r2_X_GRCm38"	62988	26735	89723	70.2027350846494	29.7972649153506
"16_Blood_r1_X_GRCm38"	36371	13487	49858	72.9491756588712	27.0508243411288
"16_scAT_r2_X_GRCm38"	54651	26099	80750	67.6792569659443	32.3207430340557
"01_BAT_r3_X_GRCm38"	50268	24926	75194	66.8510785435008	33.1489214564992
"01_Blood_r2_X_GRCm38"	39374	18373	57747	68.1836285867664	31.8163714132336
"01_Liver_r1_X_GRCm38"	10452	3754	14206	73.574545966493	26.425454033507
"02_BAT_r3_X_GRCm38"	62869	30265	93134	67.5038117121567	32.4961882878433
"02_Blood_r2_X_GRCm38"	59624	24946	84570	70.5025422726735	29.4974577273265
"02_Liver_r1_X_GRCm38"	29729	11008	40737	72.9778825146673	27.0221174853327
"03_BAT_r3_X_GRCm38"	35127	17238	52365	67.0810655972501	32.9189344027499
"03_Blood_r2_X_GRCm38"	111437	45764	157201	70.8882259018709	29.1117740981291
"03_Liver_r1_X_GRCm38"	25393	11145	36538	69.4975094422245	30.5024905577755
"04_BAT_r3_X_GRCm38"	43505	21380	64885	67.0493950836095	32.9506049163905
"04_Blood_r2_X_GRCm38"	99569	40962	140531	70.8519828365272	29.1480171634728
"04_Liver_r1_X_GRCm38"	22792	8665	31457	72.4544616460565	27.5455383539435
"05_BAT_r3_X_GRCm38"	9708	4334	14042	69.1354507904857	30.8645492095143
"05_scAT_r3_X_GRCm38"	54548	23228	77776	70.13474593705	29.86525406295
"06_BAT_r3_X_GRCm38"	25223	12377	37600	67.0824468085106	32.9175531914894
"06_Blood_r2_X_GRCm38"	26352	10486	36838	71.5348281665671	28.4651718334329
"06_scAT_r3_X_GRCm38"	91048	38567	129615	70.2449562164873	29.7550437835127
"07_BAT_r3_X_GRCm38"	13215	7419	20634	64.0447804594359	35.9552195405641
"07_Blood_r2_X_GRCm38"	11038	4319	15357	71.8760174513251	28.1239825486749
"07_scAT_r3_X_GRCm38"	71708	30635	102343	70.0663455243642	29.9336544756359
"08_BAT_r3_X_GRCm38"	27861	13620	41481	67.1656903160483	32.8343096839517
"08_Blood_r2_X_GRCm38"	35190	13928	49118	71.6437965715216	28.3562034284784
"08_Liver_r1_X_GRCm38"	23827	8918	32745	72.7653076805619	27.2346923194381
"08_scAT_r3_X_GRCm38"	65649	26810	92459	71.0033636530787	28.9966363469213
"09_BAT_r3_X_GRCm38"	36831	17272	54103	68.0757074469068	31.9242925530932
"09_Blood_r2_X_GRCm38"	75211	32274	107485	69.9734846722799	30.0265153277201
"09_Liver_r1_X_GRCm38"	44475	16662	61137	72.7464546837431	27.2535453162569
"10_BAT_r3_X_GRCm38"	34413	17264	51677	66.5924879540221	33.4075120459779
"10_Blood_r2_X_GRCm38"	51508	21794	73302	70.2682055059889	29.7317944940111
"10_Liver_r1_X_GRCm38"	47405	17913	65318	72.5757065433724	27.4242934566276
"11_Blood_r2_X_GRCm38"	99054	41827	140881	70.3104038159865	29.6895961840135
"11_Liver_r1_X_GRCm38"	26480	10052	36532	72.4843972407752	27.5156027592248
"12_Blood_r2_X_GRCm38"	60804	23537	84341	72.0930508293712	27.9069491706288
"12_Liver_r1_X_GRCm38"	36836	14457	51293	71.8148675257832	28.1851324742168
"12_scAT_r2_X_GRCm38"	35128	16510	51638	68.0274216662148	31.9725783337852
"13_Liver_r1_X_GRCm38"	36624	14212	50836	72.04343378708	27.95656621292
"13_scAT_r3_X_GRCm38"	33257	16482	49739	66.8630249904501	33.1369750095499
"14_Liver_r1_X_GRCm38"	31892	11679	43571	73.1954740538432	26.8045259461568
"14_Liver_r3_X_GRCm38"	54859	23850	78709	69.6985097002884	30.3014902997116
"14_scAT_r3_X_GRCm38"	35219	14911	50130	70.2553361260722	29.7446638739278
"15_Liver_r3_X_GRCm38"	11971	4748	16719	71.6011723189186	28.3988276810814
"15_scAT_r3_X_GRCm38"	53685	22408	76093	70.5518247407777	29.4481752592223
"16_Liver_r3_X_GRCm38"	21404	8850	30254	70.7476697296225	29.2523302703775
"16_scAT_r3_X_GRCm38"	83917	35538	119455	70.2498848938931	29.7501151061069
