"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"	"Total reads before alignment"
"10_scAT_r2_N_GRCm38"	211588	15253	42682	0	269523
"11_BAT_r2_N_GRCm38"	91078	5019	17636	0	113733
"11_Blood_r1_N_GRCm38"	193283	16265	51623	0	261171
"11_Liver_r3_N_GRCm38"	186681	10634	32193	0	229508
"11_scAT_r2_N_GRCm38"	241542	15083	44094	0	300719
"12_BAT_r2_N_GRCm38"	175598	10423	33348	1	219370
"12_Blood_r1_N_GRCm38"	229608	19282	59012	0	307902
"12_Liver_r3_N_GRCm38"	217733	11748	35919	0	265400
"13_BAT_r2_N_GRCm38"	158723	9204	24482	0	192409
"13_Blood_r1_N_GRCm38"	81030	6288	24262	0	111580
"13_Liver_r3_N_GRCm38"	188663	11979	29534	0	230176
"14_BAT_r2_N_GRCm38"	84634	4866	15305	0	104805
"14_Blood_r1_N_GRCm38"	110695	9323	32075	0	152093
"15_BAT_r2_N_GRCm38"	137983	7345	24644	0	169972
"15_Blood_r1_N_GRCm38"	178567	14120	46112	0	238799
"16_BAT_r2_N_GRCm38"	196720	11274	34367	0	242361
"16_Blood_r1_N_GRCm38"	115458	9716	31745	0	156919
"16_scAT_r2_N_GRCm38"	241186	14870	47669	0	303725
"01_BAT_r3_N_GRCm38"	216894	12844	34600	2	264340
"01_Blood_r2_N_GRCm38"	128546	10672	37497	0	176715
"01_Liver_r1_N_GRCm38"	31094	1669	7400	0	40163
"02_BAT_r3_N_GRCm38"	264769	15751	46804	0	327324
"02_Blood_r2_N_GRCm38"	189058	14706	54496	0	258260
"02_Liver_r1_N_GRCm38"	94026	5581	16157	1	115765
"03_BAT_r3_N_GRCm38"	154510	9719	25511	1	189741
"03_Blood_r2_N_GRCm38"	347908	28281	91420	0	467609
"03_Liver_r1_N_GRCm38"	81646	4534	15914	0	102094
"04_BAT_r3_N_GRCm38"	191313	10856	35197	0	237366
"04_Blood_r2_N_GRCm38"	310609	26347	89653	0	426609
"04_Liver_r1_N_GRCm38"	71046	4019	14686	0	89751
"05_BAT_r3_N_GRCm38"	42401	2547	9931	0	54879
"05_scAT_r3_N_GRCm38"	179715	11764	31790	0	223269
"06_BAT_r3_N_GRCm38"	116691	7051	18820	3	142565
"06_Blood_r2_N_GRCm38"	87568	7741	23941	0	119250
"06_scAT_r3_N_GRCm38"	310589	21925	62469	0	394983
"07_BAT_r3_N_GRCm38"	60833	3576	11080	0	75489
"07_Blood_r2_N_GRCm38"	34710	3050	12506	0	50266
"07_scAT_r3_N_GRCm38"	243877	16034	40715	0	300626
"08_BAT_r3_N_GRCm38"	123365	7514	24731	0	155610
"08_Blood_r2_N_GRCm38"	118120	10691	32537	0	161348
"08_Liver_r1_N_GRCm38"	75130	4529	13206	0	92865
"08_scAT_r3_N_GRCm38"	222538	14863	45845	0	283246
"09_BAT_r3_N_GRCm38"	160600	10360	31326	0	202286
"09_Blood_r2_N_GRCm38"	237637	20015	67459	0	325111
"09_Liver_r1_N_GRCm38"	134815	7252	25007	0	167074
"10_BAT_r3_N_GRCm38"	153564	9300	24331	0	187195
"10_Blood_r2_N_GRCm38"	163216	13718	44609	0	221543
"10_Liver_r1_N_GRCm38"	144210	8006	24950	0	177166
"11_Blood_r2_N_GRCm38"	314267	26617	84287	0	425171
"11_Liver_r1_N_GRCm38"	81501	4409	15268	0	101178
"12_Blood_r2_N_GRCm38"	203794	17209	57059	0	278062
"12_Liver_r1_N_GRCm38"	113674	5963	21714	0	141351
"12_scAT_r2_N_GRCm38"	158317	9292	27023	0	194632
"13_Liver_r1_N_GRCm38"	113396	6897	18656	0	138949
"13_scAT_r3_N_GRCm38"	113326	7575	22972	0	143873
"14_Liver_r1_N_GRCm38"	100307	6125	19446	0	125878
"14_Liver_r3_N_GRCm38"	183668	11450	30011	0	225129
"14_scAT_r3_N_GRCm38"	118957	8013	23782	0	150752
"15_Liver_r3_N_GRCm38"	38653	2321	8515	2	49491
"15_scAT_r3_N_GRCm38"	178184	11272	30300	0	219756
"16_Liver_r3_N_GRCm38"	76054	5086	12079	0	93219
"16_scAT_r3_N_GRCm38"	273542	17247	48566	0	339355
