"Category"	"Mus_musculus"	"Rattus_norvegicus"	"Danio_rerio"	"Homo_sapiens"	"Macaca_mulatta"	"Sus_scrofa"	"Bos_taurus"	"Caenorhabditis_elegans"	"Equus_caballus"	"Drosophila_melanogaster"	"Saccharomyces_cerevisiae"	"Schizosaccharomyces_pombe"	"Arabidopsis_thaliana"	"Vectors"	"Escherichia_coli_K_12_MG1655"	"Multiple Genomes"	"No hits"
"11_Liver_r2_C_1_val_1_screen"	70557	32	0	2	1	0	2	1	0	0	1	0	1	0	0	45709	3708
"11_scAT_r1_C_1_val_1_screen"	80298	18	4	3	1	1	1	1	0	0	1	0	0	1	0	40279	3384
"12_Blood_r3_C_1_val_1_screen"	63042	16	4	0	1	1	1	0	1	1	0	1	1	0	0	34421	2839
"12_Liver_r2_C_1_val_1_screen"	15168	6	2	1	1	1	0	0	0	0	0	0	0	0	0	9060	918
"12_scAT_r1_C_1_val_1_screen"	72380	16	5	4	2	0	0	0	0	1	0	0	2	0	0	37502	3073
"13_BAT_r1_C_1_val_1_screen"	30545	9	1	0	0	1	0	1	1	0	0	0	0	0	0	17298	1393
"13_Blood_r3_C_1_val_1_screen"	40622	9	1	0	0	1	2	0	0	0	1	0	0	0	0	22163	1902
"13_Liver_r2_C_1_val_1_screen"	38904	15	4	2	0	0	1	0	1	0	0	0	0	0	0	25416	1942
"13_scAT_r2_C_1_val_1_screen"	84189	35	5	0	1	0	0	1	0	4	0	0	0	0	0	54646	3824
"14_BAT_r1_C_1_val_1_screen"	30359	4	3	0	0	1	0	0	1	0	0	0	0	0	0	16415	1426
"14_Blood_r3_C_1_val_1_screen"	61550	10	8	3	0	0	2	2	0	0	0	1	0	0	0	33544	2669
"14_Liver_r2_C_1_val_1_screen"	48399	18	1	2	1	1	2	1	0	0	0	2	0	0	0	32221	2459
"14_scAT_r2_C_1_val_1_screen"	53454	15	2	0	1	1	2	0	0	0	0	0	0	0	0	33160	2605
"15_BAT_r1_C_1_val_1_screen"	53891	13	4	0	2	2	0	0	1	0	0	0	0	0	0	31334	2618
"15_Blood_r3_C_1_val_1_screen"	77065	16	4	1	2	1	1	0	2	0	1	0	0	0	0	43187	3528
"15_Liver_r2_C_1_val_1_screen"	21032	7	4	4	0	0	0	1	0	1	0	0	0	0	0	13444	1037
"15_scAT_r2_C_1_val_1_screen"	58328	17	3	2	0	2	0	1	1	0	0	0	0	0	0	37347	2787
"16_BAT_r1_C_1_val_1_screen"	24457	10	2	1	0	1	0	1	1	0	0	0	0	0	0	13283	1324
"16_Blood_r3_C_1_val_1_screen"	64685	22	6	1	0	1	1	0	0	0	0	0	0	1	0	34907	3250
"16_Liver_r2_C_1_val_1_screen"	20110	7	2	0	0	0	1	1	0	1	0	1	1	0	0	12679	906
