"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"	"Total reads before alignment"
"10_BAT_r2_X_GRCm38"	99558	7202	15352	6	122118
"10_Blood_r1_X_GRCm38"	38299	3400	9079	0	50778
"10_Liver_r3_X_GRCm38"	59688	4713	9488	0	73889
"10_scAT_r2_X_GRCm38"	74571	8616	15655	0	98842
"11_BAT_r2_X_GRCm38"	48335	3131	9665	0	61131
"11_Blood_r1_X_GRCm38"	91839	8301	19028	0	119168
"11_Liver_r3_X_GRCm38"	88813	7042	15669	0	111524
"11_scAT_r2_X_GRCm38"	84721	9547	17501	0	111769
"12_BAT_r2_X_GRCm38"	59085	3785	16513	0	79383
"12_Blood_r1_X_GRCm38"	106611	9618	22103	0	138332
"12_Liver_r3_X_GRCm38"	102708	7897	17674	0	128279
"13_BAT_r2_X_GRCm38"	76469	5441	11596	0	93506
"13_Blood_r1_X_GRCm38"	39175	3480	9600	0	52255
"13_Liver_r3_X_GRCm38"	87536	7379	13791	0	108706
"14_BAT_r2_X_GRCm38"	41894	2788	7120	0	51802
"14_Blood_r1_X_GRCm38"	34542	2936	12004	0	49482
"15_BAT_r2_X_GRCm38"	69863	4823	12567	1	87254
"15_Blood_r1_X_GRCm38"	83235	7342	17234	0	107811
"16_BAT_r2_X_GRCm38"	99494	6741	16574	0	122809
"16_Blood_r1_X_GRCm38"	54441	4759	12143	0	71343
"16_scAT_r2_X_GRCm38"	86824	9374	19714	0	115912
"01_BAT_r3_X_GRCm38"	81016	8067	14312	0	103395
"01_Blood_r2_X_GRCm38"	62143	5078	13231	0	80452
"01_Liver_r1_X_GRCm38"	15419	1092	3849	0	20360
"02_BAT_r3_X_GRCm38"	100582	9588	20202	0	130372
"02_Blood_r2_X_GRCm38"	92825	7709	20952	0	121486
"02_Liver_r1_X_GRCm38"	44555	3294	7321	0	55170
"03_BAT_r3_X_GRCm38"	56107	5852	10612	0	72571
"03_Blood_r2_X_GRCm38"	170898	13984	34077	0	218959
"03_Liver_r1_X_GRCm38"	39829	2832	7324	0	49985
"04_BAT_r3_X_GRCm38"	69541	6938	15461	0	91940
"04_Blood_r2_X_GRCm38"	153040	12772	33017	0	198829
"04_Liver_r1_X_GRCm38"	34777	2678	7216	0	44671
"05_BAT_r3_X_GRCm38"	15169	1552	3873	0	20594
"05_scAT_r3_X_GRCm38"	82585	7606	14980	0	105171
"06_BAT_r3_X_GRCm38"	40715	4119	7317	0	52151
"06_Blood_r2_X_GRCm38"	39631	3362	7863	0	50856
"06_scAT_r3_X_GRCm38"	138943	13074	27984	0	180001
"07_BAT_r3_X_GRCm38"	22243	2026	4079	0	28348
"07_Blood_r2_X_GRCm38"	16405	1441	4634	0	22480
"07_scAT_r3_X_GRCm38"	110177	10027	18457	0	138661
"08_BAT_r3_X_GRCm38"	45193	4566	10127	0	59886
"08_Blood_r2_X_GRCm38"	53499	4720	10434	0	68653
"08_Liver_r1_X_GRCm38"	35698	2593	5997	0	44288
"08_scAT_r3_X_GRCm38"	100707	9145	20553	0	130405
"09_BAT_r3_X_GRCm38"	58543	5939	13308	0	77790
"09_Blood_r2_X_GRCm38"	116624	9634	25635	0	151893
"09_Liver_r1_X_GRCm38"	66784	4928	12684	0	84396
"10_BAT_r3_X_GRCm38"	55642	5609	9857	0	71108
"10_Blood_r2_X_GRCm38"	79976	6596	16780	0	103352
"10_Liver_r1_X_GRCm38"	71313	5198	12357	0	88868
"11_Blood_r2_X_GRCm38"	152517	12506	31073	0	196096
"11_Liver_r1_X_GRCm38"	39848	2975	7588	0	50411
"12_Blood_r2_X_GRCm38"	96931	7859	19963	0	124753
"12_Liver_r1_X_GRCm38"	56014	3862	10917	0	70793
"12_scAT_r2_X_GRCm38"	54700	5888	11012	0	71600
"13_Liver_r1_X_GRCm38"	55430	4285	8812	0	68527
"13_scAT_r3_X_GRCm38"	53073	4487	10756	0	68316
"14_Liver_r1_X_GRCm38"	48516	3766	9297	0	61579
"14_Liver_r3_X_GRCm38"	85303	7027	14585	0	106915
"14_scAT_r3_X_GRCm38"	54321	4895	11046	0	70262
"15_Liver_r3_X_GRCm38"	18041	1457	4221	0	23719
"15_scAT_r3_X_GRCm38"	82059	7237	14222	0	103518
"16_Liver_r3_X_GRCm38"	33306	2750	4910	0	40966
"16_scAT_r3_X_GRCm38"	128879	11156	24076	0	164111
