Sample Name	% mCpG	allCs(M)	% Bups	% Aligned	% Dups	% Failed	M Seqs
02_scAT_r1_C_GRCm39	48.6%	2.1	43.2%	72.2%			
03_BAT_r1_C_1					44.1%	18%	0.1
03_BAT_r1_C_1_val_1					43.3%	18%	0.1
03_BAT_r1_C_2					44.1%	18%	0.1
03_BAT_r1_C_2_val_2					37.4%	18%	0.1
03_BAT_r1_C_GRCm39	39.1%	1.8	40.5%	72.2%			
03_Liver_r2_C_1					47.6%	18%	0.1
03_Liver_r2_C_1_val_1					46.4%	18%	0.1
03_Liver_r2_C_2					49.1%	18%	0.1
03_Liver_r2_C_2_val_2					42.7%	18%	0.1
03_Liver_r2_C_GRCm39	45.8%	1.6	44.9%	68.9%			
04_BAT_r1_C_1					43.2%	18%	0.1
04_BAT_r1_C_1_val_1					42.6%	18%	0.1
04_BAT_r1_C_2					42.1%	18%	0.1
04_BAT_r1_C_2_val_2					35.3%	18%	0.1
04_BAT_r1_C_GRCm39	37.8%	1.2	39.8%	71.6%			
04_Liver_r2_C_1					51.1%	27%	0.1
04_Liver_r2_C_1_val_1					50.4%	27%	0.1
04_Liver_r2_C_2					49.0%	18%	0.1
04_Liver_r2_C_2_val_2					42.3%	18%	0.1
04_Liver_r2_C_GRCm39	45.8%	1.6	46.8%	70.2%			
05_BAT_r1_C_1					41.5%	18%	0.0
05_BAT_r1_C_1_val_1					40.5%	18%	0.0
05_BAT_r1_C_2					40.2%	18%	0.0
05_BAT_r1_C_2_val_2					34.0%	18%	0.0
05_BAT_r1_C_GRCm39	42.8%	0.6	39.7%	71.1%			
05_Blood_r3_C_1					47.5%	18%	0.1
05_Blood_r3_C_1_val_1					46.8%	18%	0.1
05_Blood_r3_C_2					48.7%	9%	0.1
05_Blood_r3_C_2_val_2					41.9%	18%	0.1
05_Blood_r3_C_GRCm39	51.1%	1.4	44.0%	71.1%			
05_Liver_r2_C_1					51.7%	27%	0.1
05_Liver_r2_C_1_val_1					50.8%	27%	0.1
05_Liver_r2_C_2					50.1%	27%	0.1
05_Liver_r2_C_2_val_2					43.8%	18%	0.1
05_Liver_r2_C_GRCm39	43.3%	1.7	46.9%	71.4%			
05_scAT_r1_C_1					47.6%	9%	0.2
05_scAT_r1_C_1_val_1					46.8%	9%	0.2
05_scAT_r1_C_2					47.5%	18%	0.2
05_scAT_r1_C_2_val_2					40.4%	9%	0.2
05_scAT_r1_C_GRCm39	47.3%	2.9	43.4%	72.6%			
06_BAT_r1_C_1					44.1%	18%	0.1
06_BAT_r1_C_1_val_1					43.4%	18%	0.1
06_BAT_r1_C_2					43.6%	18%	0.1
06_BAT_r1_C_2_val_2					37.3%	18%	0.1
06_BAT_r1_C_GRCm39	39.5%	1.5	40.7%	72.8%			
06_Blood_r3_C_1					45.2%	18%	0.0
06_Blood_r3_C_1_val_1					44.4%	27%	0.0
06_Blood_r3_C_2					45.4%	18%	0.0
06_Blood_r3_C_2_val_2					39.2%	18%	0.0
06_Blood_r3_C_GRCm39	52.1%	0.6	42.0%	69.8%			
06_Liver_r2_C_1					50.9%	27%	0.1
06_Liver_r2_C_1_val_1					50.0%	27%	0.1
06_Liver_r2_C_2					50.7%	27%	0.1
06_Liver_r2_C_2_val_2					45.1%	18%	0.1
06_Liver_r2_C_GRCm39	43.8%	1.4	46.8%	72.4%			
06_scAT_r1_C_1					46.9%	9%	0.1
06_scAT_r1_C_1_val_1					46.1%	9%	0.1
06_scAT_r1_C_2					45.5%	18%	0.1
06_scAT_r1_C_2_val_2					38.4%	9%	0.1
06_scAT_r1_C_GRCm39	48.3%	2.0	42.7%	70.4%			
07_BAT_r1_C_1					43.4%	18%	0.1
07_BAT_r1_C_1_val_1					42.6%	18%	0.1
07_BAT_r1_C_2					41.7%	18%	0.1
07_BAT_r1_C_2_val_2					34.8%	18%	0.1
07_BAT_r1_C_GRCm39	42.2%	1.3	39.3%	69.5%			
07_Blood_r3_C_1					47.5%	18%	0.1
07_Blood_r3_C_1_val_1					46.9%	18%	0.1
07_Blood_r3_C_2					48.4%	18%	0.1
07_Blood_r3_C_2_val_2					41.1%	18%	0.1
07_Blood_r3_C_GRCm39	53.2%	1.6	43.5%	70.7%			
07_Liver_r2_C_1					52.2%	18%	0.1
07_Liver_r2_C_1_val_1					51.4%	27%	0.1
07_Liver_r2_C_2					51.4%	27%	0.1
07_Liver_r2_C_2_val_2					45.3%	18%	0.1
07_Liver_r2_C_GRCm39	43.6%	1.7	47.7%	71.4%			
07_scAT_r1_C_1					47.1%	18%	0.1
07_scAT_r1_C_1_val_1					46.3%	27%	0.1
07_scAT_r1_C_2					47.5%	9%	0.1
07_scAT_r1_C_2_val_2					40.8%	9%	0.1
07_scAT_r1_C_GRCm39	50.5%	2.3	43.5%	73.7%			
08_BAT_r1_C_1					43.5%	18%	0.1
08_BAT_r1_C_1_val_1					42.7%	18%	0.1
08_BAT_r1_C_2					42.9%	18%	0.1
08_BAT_r1_C_2_val_2					36.4%	18%	0.1
08_BAT_r1_C_GRCm39	44.7%	1.1	40.3%	72.1%			
08_Blood_r3_C_1					47.4%	18%	0.1
08_Blood_r3_C_1_val_1					46.6%	18%	0.1
08_Blood_r3_C_2					47.7%	18%	0.1
08_Blood_r3_C_2_val_2					40.5%	18%	0.1
08_Blood_r3_C_GRCm39	50.0%	1.1	44.0%	70.0%			
08_Liver_r2_C_1					49.1%	18%	0.0
08_Liver_r2_C_1_val_1					48.4%	27%	0.0
08_Liver_r2_C_2					48.0%	18%	0.0
08_Liver_r2_C_2_val_2					43.4%	18%	0.0
08_Liver_r2_C_GRCm39	43.6%	0.5	45.8%	71.9%			
08_scAT_r1_C_1					46.3%	18%	0.1
08_scAT_r1_C_1_val_1					45.4%	18%	0.1
08_scAT_r1_C_2					44.9%	18%	0.1
08_scAT_r1_C_2_val_2					38.3%	18%	0.1
08_scAT_r1_C_GRCm39	46.9%	1.0	43.8%	70.7%			
09_BAT_r1_C_1					43.4%	18%	0.1
09_BAT_r1_C_1_val_1					42.7%	18%	0.1
09_BAT_r1_C_2					43.3%	18%	0.1
09_BAT_r1_C_2_val_2					37.2%	18%	0.1
09_BAT_r1_C_GRCm39	37.3%	1.2	40.7%	72.5%			
10_BAT_r1_C_1					43.4%	18%	0.1
10_BAT_r1_C_1_val_1					42.7%	18%	0.1
10_BAT_r1_C_2					44.9%	18%	0.1
10_BAT_r1_C_2_val_2					38.7%	18%	0.1
10_BAT_r1_C_GRCm39	38.1%	1.5	40.4%	75.1%			
11_BAT_r1_C_1					39.8%	18%	0.1
11_BAT_r1_C_1_val_1					38.7%	18%	0.1
11_BAT_r1_C_2					43.0%	18%	0.1
11_BAT_r1_C_2_val_2					37.1%	18%	0.1
11_BAT_r1_C_GRCm39	37.8%	1.2	38.3%	72.7%			
11_BAT_r3_C_1					46.4%	18%	0.0
11_BAT_r3_C_1_val_1					45.4%	18%	0.0
11_BAT_r3_C_2					45.3%	18%	0.0
11_BAT_r3_C_2_val_2					39.6%	18%	0.0
11_BAT_r3_C_GRCm39	40.3%	0.6	45.0%	72.3%			
12_BAT_r1_C_1					42.3%	18%	0.1
12_BAT_r1_C_1_val_1					41.5%	18%	0.1
12_BAT_r1_C_2					43.5%	18%	0.1
12_BAT_r1_C_2_val_2					38.2%	18%	0.1
12_BAT_r1_C_GRCm39	37.9%	1.0	40.2%	75.7%			
12_BAT_r3_C_1					47.7%	18%	0.1
12_BAT_r3_C_1_val_1					47.0%	18%	0.1
12_BAT_r3_C_2					47.9%	18%	0.1
12_BAT_r3_C_2_val_2					41.8%	18%	0.1
12_BAT_r3_C_GRCm39	41.0%	1.4	45.2%	74.3%			
13_BAT_r3_C_1					47.5%	18%	0.1
13_BAT_r3_C_1_val_1					46.6%	18%	0.1
13_BAT_r3_C_2					47.1%	18%	0.1
13_BAT_r3_C_2_val_2					40.8%	18%	0.1
13_BAT_r3_C_GRCm39	39.5%	1.3	44.9%	73.4%			
13_Blood_r2_C_1					50.1%	27%	0.1
13_Blood_r2_C_1_val_1					49.2%	18%	0.1
13_Blood_r2_C_2					48.8%	18%	0.1
13_Blood_r2_C_2_val_2					42.2%	18%	0.1
13_Blood_r2_C_GRCm39	46.0%	0.9	46.3%	67.5%			
13_scAT_r1_C_1					48.2%	9%	0.1
13_scAT_r1_C_1_val_1					47.4%	18%	0.1
13_scAT_r1_C_2					47.3%	18%	0.1
13_scAT_r1_C_2_val_2					39.7%	9%	0.1
13_scAT_r1_C_GRCm39	44.2%	2.7	44.4%	71.1%			
14_BAT_r3_C_1					47.7%	18%	0.0
14_BAT_r3_C_1_val_1					46.9%	18%	0.0
14_BAT_r3_C_2					46.1%	18%	0.0
14_BAT_r3_C_2_val_2					40.6%	18%	0.0
14_BAT_r3_C_GRCm39	39.0%	0.6	46.1%	74.1%			
14_Blood_r2_C_1					50.8%	27%	0.1
14_Blood_r2_C_1_val_1					50.0%	18%	0.1
14_Blood_r2_C_2					51.1%	27%	0.1
14_Blood_r2_C_2_val_2					44.3%	18%	0.1
14_Blood_r2_C_GRCm39	49.0%	1.3	46.0%	68.3%			
14_scAT_r1_C_1					46.3%	18%	0.1
14_scAT_r1_C_1_val_1					45.6%	18%	0.1
14_scAT_r1_C_2					45.7%	9%	0.1
14_scAT_r1_C_2_val_2					39.1%	18%	0.1
14_scAT_r1_C_GRCm39	45.8%	1.5	43.1%	72.6%			
15_BAT_r3_C_1					48.3%	18%	0.1
15_BAT_r3_C_1_val_1					47.5%	18%	0.1
15_BAT_r3_C_2					48.1%	18%	0.1
15_BAT_r3_C_2_val_2					41.9%	18%	0.1
15_BAT_r3_C_GRCm39	40.3%	1.7	45.2%	74.3%			
15_Blood_r2_C_1					52.0%	18%	0.1
15_Blood_r2_C_1_val_1					51.1%	18%	0.1
15_Blood_r2_C_2					51.1%	18%	0.1
15_Blood_r2_C_2_val_2					43.9%	9%	0.1
15_Blood_r2_C_GRCm39	45.0%	2.2	46.6%	68.2%			
15_Liver_r1_C_1					45.8%	18%	0.0
15_Liver_r1_C_1_val_1					44.9%	18%	0.0
15_Liver_r1_C_2					45.2%	18%	0.0
15_Liver_r1_C_2_val_2					40.1%	18%	0.0
15_Liver_r1_C_GRCm39	41.1%	0.4	44.8%	74.3%			
15_scAT_r1_C_1					48.0%	9%	0.1
15_scAT_r1_C_1_val_1					47.2%	18%	0.1
15_scAT_r1_C_2					47.7%	9%	0.1
15_scAT_r1_C_2_val_2					40.6%	9%	0.1
15_scAT_r1_C_GRCm39	43.1%	2.7	44.1%	73.2%			
16_BAT_r3_C_1					47.9%	18%	0.1
16_BAT_r3_C_1_val_1					47.0%	18%	0.1
16_BAT_r3_C_2					47.7%	18%	0.1
16_BAT_r3_C_2_val_2					41.6%	18%	0.1
16_BAT_r3_C_GRCm39	40.2%	1.7	44.9%	73.5%			
16_Blood_r2_C_1					50.4%	27%	0.0
16_Blood_r2_C_1_val_1					49.8%	18%	0.0
16_Blood_r2_C_2					49.0%	18%	0.0
16_Blood_r2_C_2_val_2					42.6%	18%	0.0
16_Blood_r2_C_GRCm39	46.5%	0.8	46.4%	68.5%			
16_Liver_r1_C_1					44.7%	18%	0.1
16_Liver_r1_C_1_val_1					44.0%	27%	0.1
16_Liver_r1_C_2					45.8%	18%	0.1
16_Liver_r1_C_2_val_2					41.1%	18%	0.1
16_Liver_r1_C_GRCm39	47.1%	0.9	43.1%	76.6%			
16_scAT_r1_C_1					52.1%	18%	0.2
16_scAT_r1_C_1_val_1					51.6%	18%	0.2
16_scAT_r1_C_2					52.2%	18%	0.2
16_scAT_r1_C_2_val_2					40.2%	9%	0.2
16_scAT_r1_C_GRCm39	43.8%	4.2	43.8%	72.1%			
