"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"	"Total reads before deduplication"	"PercentageDeduplicated"	"PercentageDuplicate"
"11_BAT_r3_N_GRCm38"	51987	11624	63611	81.7264309631982	18.2735690368018
"12_BAT_r1_N_GRCm38"	98416	21953	120369	81.761915443345	18.238084556655
"12_BAT_r3_N_GRCm38"	137082	31103	168185	81.5066741980557	18.4933258019443
"13_BAT_r3_N_GRCm38"	117942	26704	144646	81.538376450092	18.4616235499081
"13_Blood_r2_N_GRCm38"	100459	22908	123367	81.4310147770474	18.5689852229527
"13_scAT_r1_N_GRCm38"	222322	50700	273022	81.4300679066156	18.5699320933844
"14_BAT_r3_N_GRCm38"	49563	11633	61196	80.9905876201059	19.0094123798941
"14_Blood_r2_N_GRCm38"	167151	39077	206228	81.0515545900654	18.9484454099346
"14_scAT_r1_N_GRCm38"	132140	30849	162989	81.0729558436459	18.9270441563541
"15_BAT_r3_N_GRCm38"	155536	34348	189884	81.9110614901729	18.0889385098271
"15_Blood_r2_N_GRCm38"	231687	54505	286192	80.9550930843629	19.0449069156371
"15_Liver_r1_N_GRCm38"	41113	9010	50123	82.0242204177723	17.9757795822277
"15_scAT_r1_N_GRCm38"	240571	54334	294905	81.5757616859667	18.4242383140333
"16_BAT_r3_N_GRCm38"	160579	36246	196825	81.5846564206783	18.4153435793217
"16_Blood_r2_N_GRCm38"	91021	21795	112816	80.6809317827258	19.3190682172741
"16_Liver_r1_N_GRCm38"	94766	21757	116523	81.3281498073342	18.6718501926658
"16_scAT_r1_N_GRCm38"	371492	84399	455891	81.4870221171289	18.5129778828711
"01_BAT_r2_N_GRCm38"	161152	35747	196899	81.8450068309133	18.1549931690867
"01_Blood_r1_N_GRCm38"	199927	45525	245452	81.4525854342193	18.5474145657807
"02_Blood_r1_N_GRCm38"	174311	39900	214211	81.3735055622727	18.6264944377273
"03_Blood_r1_N_GRCm38"	150260	33807	184067	81.6333183025746	18.3666816974254
"03_Blood_r3_N_GRCm38"	194361	46652	241013	80.6433677851402	19.3566322148598
"03_scAT_r1_N_GRCm38"	181954	42669	224623	81.0041714339137	18.9958285660863
"04_Blood_r3_N_GRCm38"	209061	47989	257050	81.3308694806458	18.6691305193542
"04_scAT_r1_N_GRCm38"	256669	57439	314108	81.7136144256116	18.2863855743884
"05_BAT_r2_N_GRCm38"	105135	24184	129319	81.2989583897185	18.7010416102816
"05_Blood_r1_N_GRCm38"	97776	23666	121442	80.5125080285239	19.4874919714761
"05_Liver_r3_N_GRCm38"	172882	37568	210450	82.1487289142314	17.8512710857686
"06_BAT_r2_N_GRCm38"	152974	36179	189153	80.87315559362	19.12684440638
"06_Blood_r1_N_GRCm38"	152739	34635	187374	81.515578468731	18.484421531269
"07_BAT_r2_N_GRCm38"	226564	51397	277961	81.509276481233	18.490723518767
"07_Blood_r1_N_GRCm38"	95455	22164	117619	81.1561057312169	18.8438942687831
"08_BAT_r2_N_GRCm38"	212292	49628	261920	81.0522296884545	18.9477703115455
"08_Blood_r1_N_GRCm38"	173504	41738	215242	80.6088031146338	19.3911968853662
"09_Blood_r3_N_GRCm38"	41856	8574	50430	82.9982153480071	17.0017846519929
"09_Liver_r2_N_GRCm38"	194030	43165	237195	81.8018929572714	18.1981070427286
"09_scAT_r1_N_GRCm38"	105703	21681	127384	82.9798090812033	17.0201909187967
"10_Blood_r3_N_GRCm38"	177436	41885	219321	80.9024215647384	19.0975784352616
"10_Liver_r2_N_GRCm38"	151964	35703	187667	80.9753446263861	19.0246553736139
"10_scAT_r1_N_GRCm38"	200864	46789	247653	81.1070328241532	18.8929671758468
"11_Blood_r3_N_GRCm38"	113901	26994	140895	80.8410518471202	19.1589481528798
"11_Liver_r2_N_GRCm38"	214329	49263	263592	81.3108895565875	18.6891104434125
"11_scAT_r1_N_GRCm38"	214390	50780	265170	80.8500207414112	19.1499792585888
"12_Blood_r3_N_GRCm38"	174491	39560	214051	81.5184231795226	18.4815768204774
"12_Liver_r2_N_GRCm38"	45146	9047	54193	83.3059620246157	16.6940379753843
"12_scAT_r1_N_GRCm38"	196246	43363	239609	81.9025996519329	18.0974003480671
"13_BAT_r1_N_GRCm38"	99434	23123	122557	81.1328606281159	18.8671393718841
"13_Blood_r3_N_GRCm38"	112603	26486	139089	80.957516410356	19.042483589644
"13_Liver_r2_N_GRCm38"	131342	31082	162424	80.8636654681574	19.1363345318426
"13_scAT_r2_N_GRCm38"	273271	62716	335987	81.3338016054193	18.6661983945807
"14_BAT_r1_N_GRCm38"	103072	22799	125871	81.8870113052252	18.1129886947748
"14_Blood_r3_N_GRCm38"	172959	41814	214773	80.5310723414954	19.4689276585046
"14_Liver_r2_N_GRCm38"	161531	35991	197522	81.7787385708934	18.2212614291066
"14_scAT_r2_N_GRCm38"	168775	38294	207069	81.5066475426066	18.4933524573934
"15_BAT_r1_N_GRCm38"	159946	36363	196309	81.4766516053772	18.5233483946228
"15_Blood_r3_N_GRCm38"	206726	47817	254543	81.2145688547711	18.7854311452289
"15_Liver_r2_N_GRCm38"	83519	19533	103052	81.0454915964756	18.9545084035244
"15_scAT_r2_N_GRCm38"	198154	43409	241563	82.029946639179	17.970053360821
"16_BAT_r1_N_GRCm38"	63581	12802	76383	83.2397261170679	16.7602738829321
"16_Blood_r3_N_GRCm38"	176349	41110	217459	81.0952869276507	18.9047130723493
"16_Liver_r2_N_GRCm38"	78168	18667	96835	80.7228791242836	19.2771208757164
"01_Liver_r3_N_GRCm38"	232523	51722	284245	81.8037256592025	18.1962743407976
"01_scAT_r2_N_GRCm38"	97973	23334	121307	80.7645065824726	19.2354934175274
"02_BAT_r2_N_GRCm38"	161859	37807	199666	81.0648783468392	18.9351216531608
"02_Liver_r3_N_GRCm38"	212706	50904	263610	80.6896551724138	19.3103448275862
"02_scAT_r2_N_GRCm38"	163929	36888	200817	81.631037212985	18.368962787015
"03_BAT_r2_N_GRCm38"	99369	23460	122829	80.9002759934543	19.0997240065457
"03_Liver_r3_N_GRCm38"	94509	22208	116717	80.9727803147785	19.0272196852215
"03_scAT_r2_N_GRCm38"	122823	27240	150063	81.8476239979209	18.1523760020791
"04_BAT_r2_N_GRCm38"	142276	32307	174583	81.4947618038412	18.5052381961588
"04_Blood_r1_N_GRCm38"	101079	23362	124441	81.2264446605219	18.7735553394781
"04_Liver_r3_N_GRCm38"	177105	39501	216606	81.763663056425	18.236336943575
"04_scAT_r2_N_GRCm38"	108151	23667	131818	82.0456993733784	17.9543006266216
"05_Blood_r2_N_GRCm38"	120838	28035	148873	81.1685127591974	18.8314872408026
"05_Liver_r1_N_GRCm38"	77086	17048	94134	81.8896466738904	18.1103533261096
"05_scAT_r2_N_GRCm38"	138506	32921	171427	80.7959072958169	19.2040927041831
"06_Liver_r1_N_GRCm38"	85398	18831	104229	81.9330512621247	18.0669487378753
"06_Liver_r3_N_GRCm38"	144478	33113	177591	81.3543479117748	18.6456520882252
"06_scAT_r2_N_GRCm38"	185588	42289	227877	81.442181527754	18.557818472246
"07_Liver_r1_N_GRCm38"	104464	23252	127716	81.7939803939992	18.2060196060008
"07_Liver_r3_N_GRCm38"	109992	25444	135436	81.2132667828347	18.7867332171653
"07_scAT_r2_N_GRCm38"	207929	46330	254259	81.7784227893604	18.2215772106395
"08_Liver_r3_N_GRCm38"	163255	37057	200312	81.5003594392747	18.4996405607253
"08_scAT_r2_N_GRCm38"	223986	53578	277564	80.697064460809	19.302935539191
"09_BAT_r2_N_GRCm38"	170276	40776	211052	80.6796429315998	19.3203570684002
"09_Blood_r1_N_GRCm38"	100826	22796	123622	81.5599165197133	18.4400834802867
"09_Liver_r3_N_GRCm38"	108912	23882	132794	82.0157537238128	17.9842462761872
"09_scAT_r2_N_GRCm38"	224775	49680	274455	81.8986719134284	18.1013280865716
"10_BAT_r2_N_GRCm38"	146825	32491	179316	81.8805906890629	18.1194093109371
"10_Blood_r1_N_GRCm38"	62851	14702	77553	81.0426418062486	18.9573581937514
"10_Liver_r3_N_GRCm38"	97877	21942	119819	81.6873784625143	18.3126215374857
"10_scAT_r2_N_GRCm38"	159050	35665	194715	81.6834861207406	18.3165138792594
"11_BAT_r2_N_GRCm38"	68082	16199	84281	80.7797724279494	19.2202275720506
"11_Blood_r1_N_GRCm38"	145186	32343	177529	81.7815680818345	18.2184319181655
"11_Liver_r3_N_GRCm38"	138124	30979	169103	81.6803959716859	18.3196040283141
"11_scAT_r2_N_GRCm38"	180638	41104	221742	81.4631418495368	18.5368581504631
"12_BAT_r2_N_GRCm38"	128169	28532	156701	81.7920753536991	18.2079246463009
"12_Blood_r1_N_GRCm38"	167245	40827	208072	80.3784266984505	19.6215733015495
"12_Liver_r3_N_GRCm38"	161666	35321	196987	82.0693751364303	17.9306248635697
"13_BAT_r2_N_GRCm38"	114691	26048	140739	81.4919816113515	18.5080183886485
"13_Blood_r1_N_GRCm38"	61695	14532	76227	80.9358888582786	19.0641111417214
"13_Liver_r3_N_GRCm38"	140212	31070	171282	81.8603239102766	18.1396760897234
"14_BAT_r2_N_GRCm38"	61672	13710	75382	81.8126343158844	18.1873656841156
"14_Blood_r1_N_GRCm38"	82154	18276	100430	81.8022503236085	18.1977496763915
"15_BAT_r2_N_GRCm38"	101229	22934	124163	81.5291189806947	18.4708810193053
"15_Blood_r1_N_GRCm38"	132607	29638	162245	81.7325649480724	18.2674350519276
"16_BAT_r2_N_GRCm38"	144113	32089	176202	81.7885154538541	18.2114845461459
"16_Blood_r1_N_GRCm38"	86556	18643	105199	82.2783486535043	17.7216513464957
"16_scAT_r2_N_GRCm38"	179960	41071	221031	81.4184435667395	18.5815564332605
"01_BAT_r3_N_GRCm38"	162609	35727	198336	81.9866287512101	18.0133712487899
"01_Blood_r2_N_GRCm38"	93732	25250	118982	78.7783026003933	21.2216973996067
"01_Liver_r1_N_GRCm38"	23411	5035	28446	82.2997961049005	17.7002038950995
"02_BAT_r3_N_GRCm38"	198736	43142	241878	82.1637354368731	17.8362645631269
"02_Blood_r2_N_GRCm38"	138788	32048	170836	81.2404879533588	18.7595120466412
"02_Liver_r1_N_GRCm38"	69601	15875	85476	81.4275352145632	18.5724647854368
"03_BAT_r3_N_GRCm38"	116050	26532	142582	81.3917605307823	18.6082394692177
"03_Blood_r2_N_GRCm38"	258925	59030	317955	81.4344797219732	18.5655202780268
"03_Liver_r1_N_GRCm38"	58884	15669	74553	78.9827371131946	21.0172628868054
"04_BAT_r3_N_GRCm38"	143527	33217	176744	81.2061512696329	18.7938487303671
"04_Blood_r2_N_GRCm38"	231691	52523	284214	81.519911052939	18.480088947061
"04_Liver_r1_N_GRCm38"	51810	11750	63560	81.5135305223411	18.4864694776589
"05_BAT_r3_N_GRCm38"	31767	6855	38622	82.2510486251359	17.7489513748641
"05_scAT_r3_N_GRCm38"	136947	31039	167986	81.5228650006548	18.4771349993452
"06_BAT_r3_N_GRCm38"	86328	20051	106379	81.1513550606793	18.8486449393207
"06_Blood_r2_N_GRCm38"	65929	15267	81196	81.1973496231341	18.8026503768659
"06_scAT_r3_N_GRCm38"	233611	54291	287902	81.1425415592806	18.8574584407194
"07_BAT_r3_N_GRCm38"	44016	11738	55754	78.9468020231732	21.0531979768268
"07_Blood_r2_N_GRCm38"	26667	5814	32481	82.1003047935716	17.8996952064284
"07_scAT_r3_N_GRCm38"	181587	42260	223847	81.1210335631034	18.8789664368966
"08_BAT_r3_N_GRCm38"	90947	20533	111480	81.5814495873699	18.4185504126301
"08_Blood_r2_N_GRCm38"	86973	20900	107873	80.6253650125611	19.3746349874389
"08_Liver_r1_N_GRCm38"	56080	12322	68402	81.9859068448291	18.0140931551709
"08_scAT_r3_N_GRCm38"	166132	35911	202043	82.22606078904	17.77393921096
"09_BAT_r3_N_GRCm38"	119645	26430	146075	81.9065548519596	18.0934451480404
"09_Blood_r2_N_GRCm38"	176287	42156	218443	80.7016017908562	19.2983982091438
"09_Liver_r1_N_GRCm38"	101023	21534	122557	82.4294001974591	17.5705998025409
"10_BAT_r3_N_GRCm38"	114263	26946	141209	80.9176468921953	19.0823531078047
"10_Blood_r2_N_GRCm38"	120617	27886	148503	81.2219281765352	18.7780718234648
"10_Liver_r1_N_GRCm38"	107428	23606	131034	81.9848283651571	18.0151716348429
"11_Blood_r2_N_GRCm38"	232604	55695	288299	80.6815146774703	19.3184853225297
"11_Liver_r1_N_GRCm38"	60611	13655	74266	81.6133897072685	18.3866102927315
"12_Blood_r2_N_GRCm38"	143582	32134	175716	81.7125361378588	18.2874638621412
"12_Liver_r1_N_GRCm38"	84504	19155	103659	81.5211414348971	18.4788585651029
"12_scAT_r2_N_GRCm38"	120226	27172	147398	81.5655571988765	18.4344428011235
"13_Liver_r1_N_GRCm38"	84236	19171	103407	81.4606361271481	18.5393638728519
"13_scAT_r3_N_GRCm38"	83410	21986	105396	79.1396257922502	20.8603742077498
"14_Liver_r1_N_GRCm38"	73227	15884	89111	82.1750401185039	17.8249598814961
"14_Liver_r3_N_GRCm38"	136878	30687	167565	81.6865097126488	18.3134902873512
"14_scAT_r3_N_GRCm38"	88635	19908	108543	81.6588817335065	18.3411182664935
"15_Liver_r3_N_GRCm38"	29274	6363	35637	82.1449616971125	17.8550383028875
"15_scAT_r3_N_GRCm38"	134515	29243	163758	82.1425518142625	17.8574481857375
"16_Liver_r3_N_GRCm38"	55736	12813	68549	81.3082612437818	18.6917387562182
"16_scAT_r3_N_GRCm38"	206020	44730	250750	82.1615154536391	17.8384845463609
