"Category"	"Mus_musculus"	"Rattus_norvegicus"	"Danio_rerio"	"Homo_sapiens"	"Macaca_mulatta"	"Sus_scrofa"	"Caenorhabditis_elegans"	"Bos_taurus"	"Equus_caballus"	"Saccharomyces_cerevisiae"	"Drosophila_melanogaster"	"Arabidopsis_thaliana"	"Schizosaccharomyces_pombe"	"Escherichia_coli_K_12_MG1655"	"Vectors"	"Multiple Genomes"	"No hits"
"10_Blood_r1_C_1_val_1_screen"	20697	11	0	0	0	0	0	3	0	1	0	0	0	0	0	11187	1061
"10_Liver_r3_C_1_val_1_screen"	33181	6	3	2	1	0	0	0	0	0	0	0	0	0	0	18849	1554
"10_scAT_r2_C_1_val_1_screen"	48809	21	1	1	0	5	0	1	1	0	1	0	1	0	0	29853	2350
"11_BAT_r2_C_1_val_1_screen"	30731	1	1	0	0	0	0	0	0	1	0	0	0	0	0	17263	1362
"11_Blood_r1_C_1_val_1_screen"	48108	14	4	0	2	1	0	2	0	0	1	0	0	0	0	25186	2096
"11_Liver_r3_C_1_val_1_screen"	51744	24	3	0	2	0	0	1	0	0	1	0	0	0	0	29293	2258
"11_scAT_r2_C_1_val_1_screen"	54466	10	3	0	2	0	1	0	2	0	0	0	0	0	0	34504	2676
"12_BAT_r2_C_1_val_1_screen"	51677	11	4	0	0	1	0	0	0	0	0	0	0	0	0	27895	2309
"12_Blood_r1_C_1_val_1_screen"	55250	13	5	0	1	1	2	2	1	0	0	0	0	0	1	29093	2546
"12_Liver_r3_C_1_val_1_screen"	59098	12	4	1	1	0	1	2	0	0	1	0	0	0	0	34688	2841
"13_BAT_r2_C_1_val_1_screen"	41942	9	4	2	0	1	0	0	0	0	0	2	0	0	0	21946	1867
"13_Blood_r1_C_1_val_1_screen"	22891	23	2	0	0	0	0	1	0	0	0	0	0	0	0	12808	1066
"13_Liver_r3_C_1_val_1_screen"	48395	12	1	2	2	0	0	2	0	0	1	0	0	0	0	28041	2242
"14_BAT_r2_C_1_val_1_screen"	24122	6	2	1	0	0	1	0	1	0	0	0	0	0	0	13433	1181
"14_Blood_r1_C_1_val_1_screen"	27934	8	0	2	1	1	0	0	0	0	0	0	0	0	1	14724	1369
"15_BAT_r2_C_1_val_1_screen"	41674	9	2	1	1	1	0	0	0	0	0	0	0	0	0	22664	1778
"15_Blood_r1_C_1_val_1_screen"	44140	14	2	1	0	1	1	0	0	0	0	1	0	1	0	23578	2037
"16_BAT_r2_C_1_val_1_screen"	57068	10	2	0	1	3	1	2	0	0	1	0	0	1	0	31469	2616
"16_Blood_r1_C_1_val_1_screen"	29204	9	1	3	1	0	1	0	0	0	0	0	0	0	0	15804	1354
"16_scAT_r2_C_1_val_1_screen"	57937	14	6	1	1	0	2	2	0	2	0	0	0	0	0	36536	2702
