	Ages	Coverage
MethRate_01_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_13_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_NC_r1_1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	0	2
MethRate_15_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_Liver_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_13_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_05_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_scAT_r1_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_05_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_La_r2_2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	0	2
MethRate_02_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_13_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_BAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_05_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_NC_r2_2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	0	2
MethRate_13_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_Blood_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_05_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_13_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_Liver_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_13_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_La_r3_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	0	2
MethRate_16_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_05_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_scAT_r2_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_05_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_NC_r3_3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	0	2
MethRate_11_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_13_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_BAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_05_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_13_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_Blood_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_05_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_La_4_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	0	2
MethRate_06_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_13_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_Liver_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_13_scAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_scAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_scAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_scAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_05_scAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_scAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_scAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_scAT_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_NC_4_r3_C_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	0	2
MethRate_05_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_04_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_13_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_BAT_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_05_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_06_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_07_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_08_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	80	2
MethRate_01_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_02_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_03_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_La_5_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	0	2
MethRate_04_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	103	2
MethRate_10_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	51	2
MethRate_09_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_11_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_12_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	53	2
MethRate_13_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_14_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_15_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
MethRate_16_Blood_r1_X_GRCm38_bismark_bt2_pe.nonCG_filtered.deduplicated.bismark.cov.gz	7	2
